code,similarity,nl
find Path -name Regex -type f | xargs -I {} ls -l -t -r {} | tail - Quantity,find path -name regex -type f | xargs -i {} ls -l -t -r {} | tail - quantity,find recurs latest modifi _FILE file in current directori
ping www.google.com | while read endlooop; do echo $(date): $endlooop; done,ping www.google.com | while read endlooop; do echo $(date): $endlooop; done,prepend date to ping output
df -k File,df -k file,report file system contain _FILE disk usag in kilobyt
unset -f z,unset -f z,unset shell function _REGEX
find Path -size Size,find path -size size,find all file start from current directori which are exact _SIZE in size
find Path -amin -Quantity,find path -amin -quantity,find file in current directori and sub-directori that were access within _TIMESPAN
find Path -type d -mtime +Timespan -name Regex -exec rm -r -f {} \;,find path -type d -mtime +timespan -name regex -exec rm -r -f {} \;,recurs delet without prompt directori under _FILE that are older than _TIMESPAN and where name start with a number
find Path -type d -mtime +Timespan -exec rm -f {} \;,find path -type d -mtime +timespan -exec rm -f {} \;,remov all directori found in directori tree _REGEX that were modifi more than _TIMESPAN ago
find Path -type f -name Regex | awk -F Regex Program | sort -u,find path -type f -name regex | awk -f regex program | sort -u,print a sort list of extens of regular file from current directori tree match pattern _FILE
find Path -newer File,find path -newer file,find all file in home folder which been modifi after a file
mongo | tee somefile,mongo | tee somefile,write output of command _REGEX to screen and to file _REGEX
find -E Path -type f -regex Regex -exec ls {} \;,find -e path -type f -regex regex -exec ls {} \;,list all file under current directori match regex _FILE
find Path -regex Regex,find path -regex regex,find all file and directori match regex _FILE
find Path -name Regex,find path -name regex,find all _REGEX file and directori under parent
find Path -size +Size,find path -size +size,find file larger than _SIZE
yes -- Regex | head -n Quantity,yes -- regex | head -n quantity,output _NUMBER line of _REGEX
ping -c Quantity Regex | grep Regex | cut -f Number -d Regex,ping -c quantity regex | grep regex | cut -f number -d regex,print averag round trip time of _NUMBER ping to _FILE from osx
find src/js -type f -name *.js -exec cat {} >> ${jsbuild}$@ ;,find src/js -type f -name *.js -exec cat {} >> ${jsbuild}$@ ;,display content of all _FILE script file in a folder and save output to a file
awk -f File Program,awk -f file program,filter content of _REGEX through awk command written in _FILE display result
find Path -name Regex,find path -name regex,search _DIRECTORY directori recurs for file match pattern _REGEX
find Path -type f \( -iname Regex -or -iname Regex \),find path -type f \( -iname regex -or -iname regex \),display all _FILE script and perl file in current folder
sed Program,sed program,replac all newlin from standard input except last with space
curl -s http://search.twitter.com/search.json?q=node.js | json,curl -s http://search.twitter.com/search.json?q=node.js | json,download content from _FILE and format it as _FILE
find Path ! -name Regex ! -name Regex -exec grep Regex {} File \;,find path ! -name regex ! -name regex -exec grep regex {} file \;,search all file in current directori tree except _FILE and _FILE for _REGEX
find Path -user Regex,find path -user regex,find file and directori that belong to user _REGEX under _FILE directori tree
ifconfig Regex | awk Program,ifconfig regex | awk program,get ip address of _REGEX network interfac
find Path -type f -exec grep -l Regex {} \;,find path -type f -exec grep -l regex {} \;,search for a word in all regular file in current folder and display filenam along with match text
mktemp -u,mktemp -u,print name of temporari file but _REGEX creat noth
find Path -mmin +Quantity,find path -mmin +quantity,list all file in current directori tree that were last modifi more than _TIMESPAN ago
find Path -type f -exec sed -i Program {} \;,find path -type f -exec sed -i program {} \;,replac all _REGEX with _REGEX in all regular file under current directori tree and modifi them in-plac
find $HOME/projects/ -name .* -ls > foo.txt,find $home/projects/ -name .* -ls > foo.txt,display list of all hidden file in folder _DIRECTORY and save output to file _FILE
tail -n 1 $file | wc -c | xargs -I {} truncate $file -s -{},tail -n 1 $file | wc -c | xargs -i {} truncate $file -s -{},remov last line from _REGEX without read whole file or rewrit anyth
find Path -type d -exec rmdir Directory \;,find path -type d -exec rmdir directory \;,remov all empti folder under current folder
scp -3 File File,scp -3 file file,on host _REGEX connect as ssh user _REGEX and copi _FILE to directori _DIRECTORY with all transfer data relat through local host
find Path -type d -exec chmod Permission {} \;,find path -type d -exec chmod permission {} \;,chang permiss of all directori in folder _REGEX to _NUMBER
find Path -type f -exec cat {} \; -print,find path -type f -exec cat {} \; -print,print content of each file under current directori follow by that file name
read -p Regex Regex,read -p regex regex,read a line from standard input with prompt _FILE and save respons to variabl _REGEX
find Path Path Path -ok rm {} \;,find path path path -ok rm {} \;,delet all file under user 's home directori tree that were access more than _TIMESPAN after status was chang
echo -e $( date ),echo -e $( date ),print _REGEX _NUMBER new line and current date
find Path -maxdepth Quantity -name Regex -prune -or -print,find path -maxdepth quantity -name regex -prune -or -print,display all file in current directori exclud those that are present in directori whose name start with _REGEX and not search in sub directori
./aaa.sh 2>&1 | tee -a log,./aaa.sh 2>&1 | tee -a log,write standard output and error to consol and append to file _FILE
kill $( pstree -p Regex | sed Program | grep Regex | sed Program | tr Regex Regex ),kill $( pstree -p regex | sed program | grep regex | sed program | tr regex regex ),kill all child process and process have id _NUMBER
find Path -maxdepth Quantity -not -iname Regex,find path -maxdepth quantity -not -iname regex,find all file under current directori whose filenam are not _FILE ignor case
find Path -type l,find path -type l,find all symlink in _FILE directori tree
find Path -mtime +Timespan -mtime -Timespan,find path -mtime +timespan -mtime -timespan,find all file that are modifi in _TIMESPAN
find Path Path -name Regex,find path path -name regex,search for file _FILE in folder _FILE and _FILE
find Path $( pwd ) -name Regex -exec dirname {} \;,find path $( pwd ) -name regex -exec dirname {} \;,find all file name _FILE within current folder and print path where each one is locat
find | xargs -I {} ls {},find | xargs -i {} ls {},list all file and directori resid in current directori and below
find Path -type f,find path -type f,search _FILE directori tree for regular file
find Path -type f | xargs -I {} grep Regex {},find path -type f | xargs -i {} grep regex {},search for _REGEX in all regular file under current directori tree
ssh Regex -p Regex -o Compression=yes -o DSAAuthentication=yes -o LogLevel=FATAL -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o IdentitiesOnly=yes -i File -o ForwardAgent=yes,ssh regex -p regex -o compression=yes -o dsaauthentication=yes -o loglevel=fatal -o stricthostkeychecking=no -o userknownhostsfile=/dev/null -o identitiesonly=yes -i file -o forwardagent=yes,ssh into default vagrant host without run _REGEX by pass configur paramet vagrant use for ssh
find Path -mindepth Quantity -maxdepth Quantity -type d | xargs -n Quantity -I {} cp -i File {},find path -mindepth quantity -maxdepth quantity -type d | xargs -n quantity -i {} cp -i file {},copi file _FILE to each top-level directori in current directori
"find / -name *.md -type f -exec sh -c markdown ""${0}"" > ""${0%.md}.html"" {} ;","find / -name *.md -type f -exec sh -c markdown ""${0}"" > ""${0%.md}.html"" {} ;",convert all markdown file on system to _FILE
find Path -name Regex | grep -v Regex,find path -name regex | grep -v regex,exclud directori from find command
find Path -name Regex -type f -print0,find path -name regex -type f -print0,display all regular file end with _FILE in a folder
cat File | xargs -r,cat file | xargs -r,save space separ content of _REGEX in file variabl
find . -type f | xargs cat > out.txt,find . -type f | xargs cat > out.txt,display content of all regular file in current folder and save output to _FILE
t=$(tty) echo ee | tee $t | foo,t=$(tty) echo ee | tee $t | foo,write _REGEX to standard output of current termin and as input to command _REGEX
ssh -l Regex Regex command,ssh -l regex regex command,connect to host _REGEX as user _REGEX and execut _REGEX non-interact
find Path Path -iname Regex -exec du -s {} + | sed $( hostname ),find path path -iname regex -exec du -s {} + | sed $( hostname ),calcul total disk usag for each _FILE file on system and prepend system host name to output
mount | awk Program,mount | awk program,print disk of mount point _FILE
chown $( whoami ) File,chown $( whoami ) file,chang ownership of _FILE to current user
find Path -name Regex -exec chmod Permission {} \;,find path -name regex -exec chmod permission {} \;,find file and directori name _FILE under current directori tree and chang permiss to _NUMBER
find Path | xargs -I {} grep Regex {},find path | xargs -i {} grep regex {},find string have text _REGEX in all file recurs in a current folder
which Regex,which regex,save full path of command _REGEX to variabl _REGEX
find Path ! -name Regex Path,find path ! -name regex path,display all file in folder _FILE except _FILE file
find /path/to/files/ -newermt 20131204 -not -newermt 20131205 -type f -print0 | cpio --create --null --format=ustar | gzip > /tmp/dec-4.tar.gz,find /path/to/files/ -newermt 20131204 -not -newermt 20131205 -type f -print0 | cpio --create --null --format=ustar | gzip > /tmp/dec-4.tar.gz,creat a backup of all regular file in current folder which been modifi between _NUMBER date and creat a _FILE file of backup
dig Regex Regex | grep -E Regex | head -n Quantity,dig regex regex | grep -e regex | head -n quantity,save first ip address of domain _FILE in _REGEX variabl
find Path -noleaf -wholename Regex -prune -or -wholename Regex -prune -or -wholename Regex -prune -or -perm -Permission ! -type l ! -type s ! \( -type d -perm -Permission \) -print,find path -noleaf -wholename regex -prune -or -wholename regex -prune -or -wholename regex -prune -or -perm -permission ! -type l ! -type s ! \( -type d -perm -permission \) -print,display all file in entir file system exclud directori _FILE _FILE _FILE and those file which are writabl and which are not symbol link and which are not socket and which not _PERMISSION set
cat File | nl | sed Program,cat file | nl | sed program,print _FILE with line number prepend and line _NUMBER and _NUMBER delet
